India/State/UT,Boys,Girls,Total
India,1.6,1.4,1.5
Andaman & Nicobar,0.2,0.7,0.4
Andhra Pradesh,0,0,0
Arunachal Pradesh,9.3,9.2,9.3
Assam,6.8,5.2,6
Bihar,0,0,0
Chandigarh,0,0,0
Chattisgarh,1,0.6,0.8
Delhi,0,0,0
Goa,0,0,0
Gujarat,0,0,0
Haryana,0,0,0
Himachal Pradesh,0,0,0
Jammu & Kashmir,3.9,4.1,4
Jarkhand,2.4,1.1,1.8
Karnataka,0,0,0
Kerala,0,0,0
Ladhak,7.5,5.5,6.5
Lakshadweep,0.5,0.4,0.5
Madhya Pradesh,3.2,2.9,3.1
Manipur,13.5,13,13.3
Maharastra,0,0,0
Meghalaya,11.1,8.6,9.8
Mizorm,7.1,5.6,6.4
Nagaland,5.6,4.5,5
Odisha,0,0,0
Puducherry,3.7,3.6,3.7
Punjab,1.6,1,1.3
Rajasthan,3.8,3.3,3.6
Sikkim,2.9,0.5,1.8
Tamil Nadu,0,0,0
Telengana,0,0,0
Tripura,1.2,1,1.1
Uttar Pradesh,2.4,3,2.7
Uttarakhand,1,0.5,0.8
West Bengal,9.1,8.2,8.6
